"=""Burden Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Year""","=""Measure""","=""Metric""","=""Sex""","=""REI Name""","=""Cause Name""","=""Age Group Name""","=""Burden Mean""","=""Burden Mean Rounded""","=""Burden Upper""","=""Burden Lower""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Measure Name""","=""Metric Name"""
1313794,"=""country""","=""American Samoa""","=""ASM""","=""country""","=""American Samoa""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.403""","=""0.403""","=""2.11""","=""-0.262""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304325,"=""country""","=""Andorra""","=""AND""","=""country""","=""Andorra""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""6.81""","=""6.81""","=""42.1""","=""-6.05""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304349,"=""country""","=""Andorra""","=""AND""","=""country""","=""Andorra""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""5.73""","=""5.73""","=""33.4""","=""-5.18""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304373,"=""country""","=""Andorra""","=""AND""","=""country""","=""Andorra""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.63""","=""3.63""","=""27""","=""-3.22""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304397,"=""country""","=""Andorra""","=""AND""","=""country""","=""Andorra""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.65""","=""3.65""","=""26.4""","=""-3.36""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1308684,"=""country""","=""Angola""","=""AGO""","=""country""","=""Angola""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.596""","=""0.596""","=""4.21""","=""-0.394""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1308711,"=""country""","=""Angola""","=""AGO""","=""country""","=""Angola""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""1.13""","=""1.13""","=""6.43""","=""-0.821""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1308738,"=""country""","=""Angola""","=""AGO""","=""country""","=""Angola""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.5""","=""3.5""","=""15.5""","=""-2.66""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1308765,"=""country""","=""Angola""","=""AGO""","=""country""","=""Angola""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.01""","=""3.01""","=""13.8""","=""-2.5""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306485,"=""country""","=""Antigua and Barbuda""","=""ATG""","=""country""","=""Antigua and Barbuda""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0526""","=""0.0526""","=""0""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306509,"=""country""","=""Antigua and Barbuda""","=""ATG""","=""country""","=""Antigua and Barbuda""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0573""","=""0.0573""","=""0""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306533,"=""country""","=""Antigua and Barbuda""","=""ATG""","=""country""","=""Antigua and Barbuda""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.21""","=""4.21""","=""37.7""","=""-3.74""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306557,"=""country""","=""Antigua and Barbuda""","=""ATG""","=""country""","=""Antigua and Barbuda""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""5.97""","=""5.97""","=""45.9""","=""-5.39""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304627,"=""country""","=""Argentina""","=""ARG""","=""country""","=""Argentina""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""20.5""","=""20.5""","=""69.2""","=""-18.5""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304654,"=""country""","=""Argentina""","=""ARG""","=""country""","=""Argentina""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""18.5""","=""18.5""","=""60.6""","=""-16.4""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304681,"=""country""","=""Argentina""","=""ARG""","=""country""","=""Argentina""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""20.5""","=""20.5""","=""68.1""","=""-18.1""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1304708,"=""country""","=""Argentina""","=""ARG""","=""country""","=""Argentina""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""14.5""","=""14.5""","=""57.3""","=""-13.6""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297485,"=""country""","=""Armenia""","=""ARM""","=""country""","=""Armenia""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""7.56""","=""7.56""","=""29.7""","=""-6.87""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297509,"=""country""","=""Armenia""","=""ARM""","=""country""","=""Armenia""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""5.76""","=""5.76""","=""24.2""","=""-5.72""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297533,"=""country""","=""Armenia""","=""ARM""","=""country""","=""Armenia""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""6.28""","=""6.28""","=""25.9""","=""-6.09""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297557,"=""country""","=""Armenia""","=""ARM""","=""country""","=""Armenia""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""7.31""","=""7.31""","=""28""","=""-7.03""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1302890,"=""country""","=""Australia""","=""AUS""","=""country""","=""Australia""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""23.6""","=""23.6""","=""85""","=""-21.7""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1302920,"=""country""","=""Australia""","=""AUS""","=""country""","=""Australia""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""25""","=""25""","=""99.4""","=""-23""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1302950,"=""country""","=""Australia""","=""AUS""","=""country""","=""Australia""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""14.4""","=""14.4""","=""54.9""","=""-12.5""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1302980,"=""country""","=""Australia""","=""AUS""","=""country""","=""Australia""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""7.87""","=""7.87""","=""37.9""","=""-7.44""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1301897,"=""country""","=""Austria""","=""AUT""","=""country""","=""Austria""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""19.2""","=""19.2""","=""62.4""","=""-17.1""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1301930,"=""country""","=""Austria""","=""AUT""","=""country""","=""Austria""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""10.9""","=""10.9""","=""42.6""","=""-9.49""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
